Point_Index,DFCC_Chainage_Meters,DFCC_Chainage_Formatted,Relative_Distance_Meters,UTM_Zone,UTM_Easting,UTM_Northing,Latitude,Longitude
135,1077350.00,CH 1077+350,1350.00,43N,738282.166,3321214.731,29.99873865,77.47016785
136,1077360.00,CH 1077+360,1360.00,43N,738273.593,3321219.879,29.99878674,77.47008020
137,1077370.00,CH 1077+370,1370.00,43N,738265.021,3321225.028,29.99883482,77.46999255
138,1077380.00,CH 1077+380,1380.00,43N,738256.448,3321230.177,29.99888291,77.46990490
139,1077390.00,CH 1077+390,1390.00,43N,738247.875,3321235.326,29.99893100,77.46981725
140,1077400.00,CH 1077+400,1400.00,43N,738239.303,3321240.475,29.99897909,77.46972960
141,1077410.00,CH 1077+410,1410.00,43N,738230.730,3321245.623,29.99902718,77.46964195
142,1077420.00,CH 1077+420,1420.00,43N,738222.158,3321250.772,29.99907527,77.46955430
143,1077430.00,CH 1077+430,1430.00,43N,738213.585,3321255.921,29.99912336,77.46946665
144,1077440.00,CH 1077+440,1440.00,43N,738205.012,3321261.070,29.99917145,77.46937900
145,1077450.00,CH 1077+450,1450.00,43N,738196.440,3321266.218,29.99921954,77.46929135
146,1077460.00,CH 1077+460,1460.00,43N,738187.867,3321271.367,29.99926763,77.46920370
147,1077470.00,CH 1077+470,1470.00,43N,738179.294,3321276.516,29.99931572,77.46911605
148,1077480.00,CH 1077+480,1480.00,43N,738170.722,3321281.665,29.99936380,77.46902840
149,1077490.00,CH 1077+490,1490.00,43N,738162.149,3321286.814,29.99941189,77.46894075
150,1077500.00,CH 1077+500,1500.00,43N,738153.576,3321291.962,29.99945998,77.46885310
151,1077510.00,CH 1077+510,1510.00,43N,738145.004,3321297.111,29.99950807,77.46876544
152,1077520.00,CH 1077+520,1520.00,43N,738136.431,3321302.260,29.99955616,77.46867779
153,1077530.00,CH 1077+530,1530.00,43N,738127.859,3321307.409,29.99960425,77.46859014
154,1077540.00,CH 1077+540,1540.00,43N,738119.286,3321312.557,29.99965234,77.46850249
155,1077550.00,CH 1077+550,1550.00,43N,738110.713,3321317.706,29.99970043,77.46841484
156,1077560.00,CH 1077+560,1560.00,43N,738102.141,3321322.855,29.99974851,77.46832719
157,1077570.00,CH 1077+570,1570.00,43N,738093.568,3321328.004,29.99979660,77.46823954
158,1077580.00,CH 1077+580,1580.00,43N,738084.995,3321333.153,29.99984469,77.46815189
159,1077590.00,CH 1077+590,1590.00,43N,738076.423,3321338.301,29.99989278,77.46806424
160,1077600.00,CH 1077+600,1600.00,43N,738067.850,3321343.450,29.99994087,77.46797658
161,1077610.00,CH 1077+610,1610.00,43N,738059.278,3321348.599,29.99998895,77.46788893
162,1077620.00,CH 1077+620,1620.00,43N,738050.705,3321353.748,30.00003704,77.46780128
163,1077630.00,CH 1077+630,1630.00,43N,738042.132,3321358.896,30.00008513,77.46771363
164,1077640.00,CH 1077+640,1640.00,43N,738033.560,3321364.045,30.00013322,77.46762598
165,1077650.00,CH 1077+650,1650.00,43N,738024.987,3321369.194,30.00018131,77.46753832
166,1077660.00,CH 1077+660,1660.00,43N,738016.414,3321374.343,30.00022939,77.46745067
167,1077670.00,CH 1077+670,1670.00,43N,738007.842,3321379.492,30.00027748,77.46736302
168,1077680.00,CH 1077+680,1680.00,43N,737999.269,3321384.640,30.00032557,77.46727537
169,1077690.00,CH 1077+690,1690.00,43N,737990.696,3321389.789,30.00037366,77.46718772
170,1077700.00,CH 1077+700,1700.00,43N,737982.124,3321394.938,30.00042175,77.46710006
171,1077710.00,CH 1077+710,1710.00,43N,737973.551,3321400.087,30.00046983,77.46701241
172,1077720.00,CH 1077+720,1720.00,43N,737964.979,3321405.235,30.00051792,77.46692476
173,1077730.00,CH 1077+730,1730.00,43N,737956.464,3321410.480,30.00056686,77.46683773
174,1077740.00,CH 1077+740,1740.00,43N,737947.957,3321415.737,30.00061591,77.46675078
175,1077750.00,CH 1077+750,1750.00,43N,737939.451,3321420.994,30.00066496,77.46666384
176,1077760.00,CH 1077+760,1760.00,43N,737930.944,3321426.250,30.00071401,77.46657689
177,1077770.00,CH 1077+770,1770.00,43N,737922.437,3321431.507,30.00076306,77.46648994
178,1077780.00,CH 1077+780,1780.00,43N,737913.930,3321436.764,30.00081211,77.46640300
179,1077790.00,CH 1077+790,1790.00,43N,737905.424,3321442.021,30.00086116,77.46631605
180,1077800.00,CH 1077+800,1800.00,43N,737896.917,3321447.278,30.00091021,77.46622911
181,1077810.00,CH 1077+810,1810.00,43N,737888.410,3321452.535,30.00095926,77.46614216
182,1077820.00,CH 1077+820,1820.00,43N,737879.903,3321457.792,30.00100830,77.46605521
183,1077830.00,CH 1077+830,1830.00,43N,737871.388,3321463.036,30.00105724,77.46596818
184,1077840.00,CH 1077+840,1840.00,43N,737862.866,3321468.268,30.00110606,77.46588107
185,1077850.00,CH 1077+850,1850.00,43N,737854.344,3321473.500,30.00115489,77.46579396
186,1077860.00,CH 1077+860,1860.00,43N,737845.822,3321478.732,30.00120372,77.46570684
187,1077870.00,CH 1077+870,1870.00,43N,737837.300,3321483.964,30.00125255,77.46561973
188,1077880.00,CH 1077+880,1880.00,43N,737828.778,3321489.196,30.00130138,77.46553262
189,1077890.00,CH 1077+890,1890.00,43N,737820.256,3321494.429,30.00135021,77.46544551
190,1077900.00,CH 1077+900,1900.00,43N,737811.734,3321499.661,30.00139903,77.46535840
191,1077910.00,CH 1077+910,1910.00,43N,737803.212,3321504.893,30.00144786,77.46527129
192,1077920.00,CH 1077+920,1920.00,43N,737794.690,3321510.125,30.00149669,77.46518418
193,1077930.00,CH 1077+930,1930.00,43N,737786.168,3321515.357,30.00154552,77.46509707
194,1077940.00,CH 1077+940,1940.00,43N,737777.646,3321520.589,30.00159435,77.46500995
195,1077950.00,CH 1077+950,1950.00,43N,737769.124,3321525.821,30.00164317,77.46492284
196,1077960.00,CH 1077+960,1960.00,43N,737760.602,3321531.053,30.00169200,77.46483573
197,1077970.00,CH 1077+970,1970.00,43N,737752.080,3321536.286,30.00174083,77.46474862
198,1077980.00,CH 1077+980,1980.00,43N,737743.558,3321541.518,30.00178966,77.46466151
199,1077990.00,CH 1077+990,1990.00,43N,737735.036,3321546.750,30.00183849,77.46457439
200,1078000.00,CH 1078+000,2000.00,43N,737726.513,3321551.980,30.00188730,77.46448727
201,1078010.00,CH 1078+010,2010.00,43N,737717.923,3321557.100,30.00193512,77.46439943
202,1078020.00,CH 1078+020,2020.00,43N,737709.333,3321562.219,30.00198295,77.46431159
203,1078030.00,CH 1078+030,2030.00,43N,737700.743,3321567.339,30.00203078,77.46422374
204,1078040.00,CH 1078+040,2040.00,43N,737692.153,3321572.459,30.00207860,77.46413590
205,1078050.00,CH 1078+050,2050.00,43N,737683.563,3321577.578,30.00212643,77.46404806
206,1078060.00,CH 1078+060,2060.00,43N,737674.973,3321582.698,30.00217426,77.46396022
207,1078070.00,CH 1078+070,2070.00,43N,737666.382,3321587.818,30.00222208,77.46387237
